file_name,metadata_identifier,type,language,category,page_number,recipe(s)_origin_year,recipe(s)_contributor
ReceiptBookofMedicines(1783)_TableofContents_ii.jpg,TOC_1,Text,English,Table of Contents,2,NA,NA
ReceiptBookofMedicines(1783)_TableofContents_iii.jpg,TOC_2,Text,English,Table of Contents,3,NA,NA
ReceiptBookofMedicines(1783)_TableofContents_iv.jpg,TOC_3,Text,English,Table of Contents,4,NA,NA
ReceiptBookofMedicines(1783)_TableofContents_v.jpg,TOC_4,Text,English,Table of Contents,5,NA,NA
ReceiptBookofMedicines(1783)_Page_35.jpg,PG_35,Text,English,Medical Recipes,35,1786,Mr. Edward Loyle; Mr. Sandyford of Glostershire; Mr. Forbes; Mr. Mac'Cloud
ReceiptBookofMedicines(1783)_Page_36.jpg,PG_36,Text,English,Medical Recipes,36,1786,Mr. Dryden; Nanny
ReceiptBookofMedicines(1783)_Page_37.jpg,PG_36,Text,English,Medical Recipes,37,1785,Mr. Parsons
ReceiptBookofMedicines(1783)_Page_58.jpg,PG_58,Text,English,Medical Recipes,58,1793; 1792,Mr. Burl
ReceiptBookofMedicines(1783)_Page_59.jpg,PG_59,Text,English,Medical Recipes,59,NA,Mr. Dunford; Ann Dune; E. Smiths
ReceiptBookofMedicines(1783)_Page_80.jpg,PG_80,Text,English,Medical Recipes,80,NA,Mr. Meredith; Mr. Tobin
ReceiptBookofMedicines(1783)_Page_81.jpg,PG_81,Text,English,Medical Recipes,81,1807; 1809,Mr. Morton; Mr. Brock Wells; Mr. Crop
ReceiptBookofMedicines(1783)_Page_82.jpg,PG_82,Text,English,Medical Recipes,82,1810,Bath Herald; Miss Crewe; Mr. Cotton
ReceiptBookofMedicines(1783)_Page_83.jpg,PG_83,Text,English,Medical Recipes,83,1810; 1811,Mr. Burrered; Mr. Lloyd; Miss Crewe
ReceiptBookofMedicines(1783)_Page_84.jpg,PG_84,Text,English,Medical Recipes,84,1811,Bath Herald; Mr. Simmons; Mr. Amoy
ReceiptBookofMedicines(1783)_Page_85.jpg,PG_85,Text,English,Medical Recipes,85,NA,Mariti's Travels
ReceiptBookofMedicines(1783)_Page_86.jpg,PG_86,Text,English,Medical Recipes,86,1811; 1813,Mr. Cotton; Mr. Higgs; Miss Crewe
ReceiptBookofMedicines(1783)_Page_134.jpg,PG_134,Text,English,Medical Recipes,134,1805,Mr. Meredith
ReceiptBookofMedicines(1783)_Page_135.jpg,PG_135,Text,English,Culinary Recipes,135,NA,Miss Dewbery; Mr. Barton
ReceiptBookofMedicines(1783)_Page_136.jpg,PG_136,Text,English,Culinary Recipes,136,NA,Mr. Freu
ReceiptBookofMedicines(1783)_Page_137.jpg,PG_137,Text,English,Culinary Recipes,137,1817,Mr. Speke given him by Lady Chatham
ReceiptBookofMedicines(1783)_Page_138.jpg,PG_138,Text,English,Culinary Recipes,138,NA,Somerton
ReceiptBookofMedicines(1783)_Page_139.jpg,PG_139,Text,English,Culinary Recipes,139,1820,Mr. Trevill; Mr. MacCoomb; Dr. Hothergill; Mr. Jaesom
ReceiptBookofMedicines(1783)_Page_140.jpg,PG_140,Text,English,Culinary Recipes,140,NA,Mr. Daniel Giberne
ReceiptBookofMedicines(1783)_Page_141.jpg,PG_141,Text,English,Culinary Recipes,141,NA,Mr. Watson
ReceiptBookofMedicines(1783)_Page_142.jpg,PG_142,Text,English,Culinary Recipes,142,NA,Mr. Pearse; Mr. Glape
